ville,mois,saison,temperature_moyenne,temp_min,temp_max,precipitations_totales,vent_moyen,score_meteo_moyen,jours_recommandes,jours_ouvres_totaux,pourcentage_recommandé,classement
Lyon,1,Hiver,4.401075268817205,-3.3,15.2,215.127,21.61989247311828,52.8494623655914,0,133,0.0,2
Lyon,2,Hiver,7.348235294117647,-2.1,14.2,133.052,22.79294117647059,55.705882352941174,0,121,0.0,1
Lyon,3,Printemps,9.480645161290322,1.5,17.3,263.645,23.52258064516129,52.1505376344086,0,133,0.0,2
Lyon,4,Printemps,12.34,1.5,20.3,319.475,22.383888888888887,52.833333333333336,0,129,0.0,1
Lyon,5,Printemps,16.36182795698925,8.8,25.5,445.301,21.672043010752688,51.075268817204304,2,132,1.5,4
Lyon,6,Été,21.456424581005585,12.6,29.8,436.88599999999997,21.210614525139665,60.33519553072626,11,128,8.6,4
Lyon,7,Été,23.07051282051282,15.0,31.0,248.404,19.965384615384615,70.25641025641026,20,111,18.0,3
Lyon,8,Été,23.230967741935483,16.3,31.4,268.608,19.650967741935485,68.90322580645162,27,111,24.3,4
Lyon,9,Automne,18.94333333333333,8.3,26.9,353.39,19.673333333333332,60.0,7,108,6.5,5
Lyon,10,Automne,14.728387096774194,8.1,22.2,555.098,22.54451612903226,52.903225806451616,0,109,0.0,2
Lyon,11,Automne,8.436666666666667,-0.1,15.8,270.428,19.749333333333333,53.53333333333333,0,108,0.0,2
Lyon,12,Hiver,5.30516129032258,-2.7,14.4,341.393,20.52193548387097,51.74193548387097,0,111,0.0,3
Marseille,1,Hiver,7.632795698924731,1.0,14.9,139.805,25.412903225806453,51.98924731182796,0,133,0.0,3
Marseille,2,Hiver,9.90470588235294,3.1,15.6,186.78199999999998,26.040000000000003,52.8235294117647,0,121,0.0,2
Marseille,3,Printemps,11.509139784946235,6.2,17.4,274.783,27.542473118279567,50.376344086021504,0,133,0.0,3
Marseille,4,Printemps,14.12388888888889,6.7,20.5,180.915,27.86,49.666666666666664,0,129,0.0,4
Marseille,5,Printemps,18.616666666666667,11.6,25.5,213.456,26.307526881720428,51.666666666666664,1,132,0.8,2
Marseille,6,Été,23.80223463687151,18.4,29.2,138.232,27.093854748603352,71.34078212290503,9,128,7.0,1
Marseille,7,Été,26.14679487179487,21.3,29.3,30.614,29.311538461538465,74.35897435897436,0,111,0.0,2
Marseille,8,Été,25.525806451612905,19.7,30.3,129.642,29.540645161290325,72.83870967741936,0,111,0.0,2
Marseille,9,Automne,21.468666666666667,13.3,26.5,257.979,27.442666666666664,61.733333333333334,1,108,0.9,2
Marseille,10,Automne,17.57741935483871,11.0,23.3,211.819,25.879354838709677,52.83870967741935,0,109,0.0,3
Marseille,11,Automne,12.058666666666666,5.4,19.8,284.72700000000003,26.18733333333333,52.06666666666667,0,108,0.0,3
Marseille,12,Hiver,8.301290322580645,1.4,15.1,216.489,26.35741935483871,53.225806451612904,0,111,0.0,1
Nice,1,Hiver,9.38494623655914,4.9,13.9,315.63100000000003,26.73978494623656,47.68817204301075,0,133,0.0,5
Nice,2,Hiver,10.884705882352941,4.6,17.7,324.80400000000003,25.368823529411763,49.470588235294116,0,121,0.0,5
Nice,3,Printemps,12.136021505376345,7.9,18.7,378.626,28.263440860215052,48.494623655913976,0,133,0.0,5
Nice,4,Printemps,14.511666666666667,8.4,19.3,358.096,25.68888888888889,48.72222222222222,0,129,0.0,5
Nice,5,Printemps,18.313440860215056,13.7,26.6,227.947,23.404301075268815,51.236559139784944,1,132,0.8,3
Nice,6,Été,22.830167597765364,17.6,27.8,102.232,22.19441340782123,71.1731843575419,21,128,16.4,2
Nice,7,Été,25.742307692307694,22.0,30.1,20.799,20.27820512820513,82.11538461538461,37,111,33.3,1
Nice,8,Été,26.02193548387097,21.0,30.2,89.857,20.78838709677419,79.16129032258064,30,111,27.0,1
Nice,9,Automne,22.368,16.0,28.7,308.989,24.619333333333334,65.66666666666667,6,108,5.6,1
Nice,10,Automne,18.216129032258063,13.4,22.5,472.99,24.45225806451613,47.29032258064516,1,109,0.9,5
Nice,11,Automne,13.660666666666666,7.7,18.5,200.396,27.012666666666668,48.13333333333333,0,108,0.0,5
Nice,12,Hiver,9.810967741935483,5.6,14.2,339.156,25.02774193548387,46.96774193548387,0,111,0.0,5
Paris,1,Hiver,5.405913978494624,-1.8,13.4,338.267,19.18225806451613,51.72043010752688,0,133,0.0,4
Paris,2,Hiver,7.509411764705882,-3.3,14.2,242.642,20.380588235294116,52.411764705882355,0,121,0.0,3
Paris,3,Printemps,9.374193548387096,2.9,17.5,248.833,19.391935483870967,52.68817204301075,0,133,0.0,1
Paris,4,Printemps,12.193888888888889,2.3,20.6,241.693,18.648333333333333,51.833333333333336,0,129,0.0,2
